time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	2.15194	-0.34989	1.76688	-0.21277
1.000	2.16379	-0.31808	1.72343	-0.20880
2.000	2.16379	-0.33398	1.71158	-0.21079
3.000	2.16181	-0.33200	1.75898	-0.24458
4.000	2.16576	-0.29422	1.74910	-0.23265
5.000	2.18156	-0.30217	1.76886	-0.27043
6.000	2.19932	-0.28825	1.75305	-0.22470
7.000	2.14207	-0.28628	1.71158	-0.27243
8.000	2.13812	-0.35983	1.72738	-0.29430
9.000	2.18748	-0.29024	1.76491	-0.26447
10.000	2.16181	-0.27037	1.75305	-0.24657
11.000	2.18353	-0.31211	1.77083	-0.22669
12.000	2.18156	-0.30217	1.77083	-0.28634
13.000	2.17563	-0.26043	1.76095	-0.27441
14.000	2.15392	-0.28627	1.72935	-0.22470
15.000	2.17761	-0.29223	1.74910	-0.31219
16.000	2.13812	-0.31212	1.74515	-0.24459
17.000	2.17761	-0.33000	1.77478	-0.25452
18.000	2.18748	-0.32801	1.75700	-0.22669
19.000	2.21906	-0.27831	1.74713	-0.25254
20.000	2.19340	-0.31609	1.73528	-0.21476
21.000	2.15194	-0.32007	1.74515	-0.24061
22.000	2.17761	-0.32603	1.71355	-0.24061
23.000	2.17563	-0.33199	1.76688	-0.22072
24.000	2.13418	-0.36381	1.74515	-0.26248
25.000	2.15984	-0.26639	1.75503	-0.26049
26.000	2.20525	-0.32006	1.75108	-0.27242
27.000	2.12628	-0.28827	1.75700	-0.21277
28.000	2.16181	-0.29224	1.73528	-0.26646
29.000	2.18748	-0.32205	1.77281	-0.23663
30.000	2.17958	-0.30217	1.75305	-0.26447
31.000	2.15984	-0.32007	1.77676	-0.19686
32.000	2.17169	-0.38567	1.76491	-0.23464
33.000	2.16379	-0.29224	1.79848	-0.27838
34.000	2.13615	-0.33995	1.77281	-0.26248
35.000	2.18748	-0.35982	1.77478	-0.20879
36.000	2.19932	-0.36181	1.77873	-0.28037
37.000	2.20919	-0.32602	1.76491	-0.24856
38.000	2.13023	-0.37176	1.76886	-0.23265
39.000	2.08679	-0.35786	1.78663	-0.27640
40.000	2.16181	-0.40356	1.72738	-0.26050
41.000	2.17563	-0.33994	1.78071	-0.26248
42.000	2.13812	-0.28628	1.74910	-0.19288
43.000	2.17761	-0.32006	1.75108	-0.19686
44.000	2.14800	-0.35188	1.74120	-0.22072
45.000	2.09666	-0.36581	1.75305	-0.23663
46.000	2.13418	-0.33001	1.78071	-0.26645
47.000	2.19143	-0.35783	1.75305	-0.21873
48.000	2.18156	-0.31410	1.76886	-0.23663
49.000	2.19932	-0.33994	1.77083	-0.22867
50.000	2.17563	-0.32404	1.77873	-0.22470
51.000	2.17761	-0.32205	1.80243	-0.23464
52.000	2.15984	-0.37573	1.74713	-0.27044
53.000	2.12036	-0.31809	1.75305	-0.20482
54.000	2.17169	-0.33398	1.78071	-0.23265
55.000	2.12628	-0.33996	1.76491	-0.20481
56.000	2.20327	-0.38168	1.82218	-0.19487
57.000	2.18156	-0.32802	1.82811	-0.25651
58.000	2.11246	-0.36978	1.81033	-0.24060
59.000	2.13812	-0.32405	1.83206	-0.25650
60.000	2.19340	-0.31410	1.85181	-0.24258
61.000	2.17169	-0.33597	1.82811	-0.26048
62.000	2.16379	-0.38169	1.80638	-0.26247
63.000	2.11641	-0.35189	1.83996	-0.19486
64.000	2.16181	-0.33001	1.80638	-0.27639
65.000	2.21314	-0.30813	1.81231	-0.27440
66.000	2.18156	-0.32205	1.82218	-0.28235
67.000	2.19932	-0.35187	1.75108	-0.28634
68.000	2.19538	-0.37572	1.82613	-0.25849
69.000	2.20130	-0.33994	1.82613	-0.30025
70.000	2.15589	-0.36778	1.77281	-0.26049
71.000	2.15984	-0.33200	1.80441	-0.20282
72.000	2.18156	-0.32205	1.79651	-0.26247
73.000	2.21314	-0.28626	1.82613	-0.24060
74.000	2.16774	-0.30814	1.84193	-0.27042
75.000	2.16379	-0.31410	1.76491	-0.25254
76.000	2.19340	-0.29621	1.82218	-0.26645
77.000	2.20919	-0.32205	1.84391	-0.28832
78.000	2.13615	-0.21670	1.83996	-0.26843
79.000	2.07495	-0.26840	1.76095	-0.32810
80.000	2.02558	-0.30817	1.68985	-0.25255
81.000	1.96240	-0.27438	1.60293	-0.20483
82.000	1.80046	-0.25651	1.50020	-0.26649
83.000	1.59700	-0.21477	1.36980	-0.27247
84.000	1.40734	-0.26252	1.21567	-0.22674
85.000	1.25915	-0.28442	1.06548	-0.20488
86.000	1.05955	-0.23073	0.87772	-0.25263
87.000	0.84610	-0.19693	0.66820	-0.26060
88.000	0.59110	-0.21286	0.49424	-0.29243
89.000	0.37365	-0.21286	0.25108	-0.24470
90.000	0.14234	-0.19297	0.04349	-0.21287
91.000	-0.07908	-0.22480	-0.11664	-0.24072
92.000	-0.18979	-0.24072	-0.20165	-0.22679
93.000	-0.25701	-0.21088	-0.31236	-0.27056
94.000	-0.31039	-0.24669	-0.45470	-0.32029
95.000	-0.44086	-0.26657	-0.48238	-0.25862
96.000	-0.46459	-0.24270	-0.53180	-0.28050
97.000	-0.39737	-0.25464	-0.56145	-0.24668
98.000	-0.35981	-0.22878	-0.58913	-0.26458
99.000	-0.39935	-0.20888	-0.55354	-0.26259
100.000	-0.30050	-0.20889	-0.52389	-0.23076
101.000	-0.22142	-0.25464	-0.49028	-0.24668
102.000	-0.18584	-0.23674	-0.42702	-0.21286
103.000	-0.15025	-0.26658	-0.40133	-0.19894
104.000	-0.02768	-0.22282	-0.30643	-0.23475
105.000	-0.06524	-0.23674	-0.25899	-0.26459
106.000	-0.01186	-0.29046	-0.23724	-0.22878
107.000	0.02768	-0.26459	-0.24910	-0.29045
108.000	0.02966	-0.23276	-0.24317	-0.26260
109.000	0.02372	-0.21685	-0.28864	-0.31432
110.000	0.08501	-0.20889	-0.25108	-0.24271
111.000	0.04547	-0.25664	-0.22735	-0.23077
112.000	0.13839	-0.19695	-0.28864	-0.27653
113.000	0.11071	-0.26459	-0.24910	-0.23475
114.000	0.12850	-0.22679	-0.18386	-0.22679
115.000	0.12455	-0.25664	-0.15025	-0.22878
116.000	0.15025	-0.24868	-0.20561	-0.21287
117.000	0.18781	-0.23475	-0.20758	-0.20690
118.000	0.16804	-0.28648	-0.17793	-0.20889
119.000	0.20165	-0.27852	-0.12653	-0.17109
120.000	0.18979	-0.22281	-0.17793	-0.18104
121.000	0.28073	-0.22082	-0.13444	-0.19297
122.000	0.23329	-0.27852	-0.15618	-0.16910
123.000	0.17200	-0.27852	-0.10280	-0.15518
124.000	0.19968	-0.22480	-0.15025	-0.19496
125.000	0.18584	-0.26658	-0.12653	-0.16910
126.000	0.17595	-0.22679	-0.16409	-0.22480
127.000	0.12060	-0.25664	-0.12257	-0.20690
128.000	0.17793	-0.25465	-0.15816	-0.19496
129.000	0.18386	-0.23475	-0.15816	-0.25862
130.000	0.09292	-0.26459	-0.13444	-0.20093
131.000	0.19375	-0.23077	-0.17991	-0.20690
132.000	0.11071	-0.24271	-0.14827	-0.19894
133.000	0.10083	-0.21884	-0.15816	-0.24669
134.000	0.16607	-0.25663	-0.18188	-0.20292
135.000	0.11269	-0.24470	-0.12653	-0.18900
136.000	0.12850	-0.25663	-0.19968	-0.19297
137.000	0.09094	-0.23077	-0.16804	-0.22083
138.000	0.15618	-0.16114	-0.17793	-0.25862
139.000	0.08501	-0.21088	-0.20561	-0.22878
140.000	0.09490	-0.23475	-0.16607	-0.21884
