time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.91725	1.85725	0.04745	2.18533
1.000	0.90737	1.83539	0.09885	2.17738
2.000	0.92120	1.87115	0.06920	2.24492
3.000	0.95085	1.86120	0.13839	2.19327
4.000	0.90934	1.84334	0.10676	2.23102
5.000	0.95085	1.87710	0.11862	2.26677
6.000	0.97259	1.85324	0.09687	2.26280
7.000	0.91527	1.88506	0.03361	2.20520
8.000	0.87179	1.88310	0.04943	2.22307
9.000	0.81052	1.82352	-0.07315	2.10785
10.000	0.64052	1.72620	-0.08699	2.05818
11.000	0.43889	1.65669	-0.17991	1.99459
12.000	0.20561	1.54143	-0.35190	1.85546
13.000	0.00000	1.44005	-0.48040	1.75606
14.000	-0.16014	1.21536	-0.63064	1.51352
15.000	-0.35783	1.06421	-0.80459	1.32857
16.000	-0.64052	0.87523	-1.03188	1.08990
17.000	-0.85400	0.63254	-1.25322	0.98245
18.000	-1.10501	0.45549	-1.43896	0.74775
19.000	-1.30657	0.25458	-1.51996	0.58069
20.000	-1.46069	0.09745	-1.61873	0.48522
21.000	-1.57330	-0.03580	-1.73330	0.35196
22.000	-1.56737	-0.19290	-1.94462	0.15707
23.000	-1.61676	-0.27841	-2.03743	0.00398
24.000	-1.72145	-0.33009	-2.13220	-0.08946
25.000	-1.71553	-0.38577	-2.19735	-0.17892
26.000	-1.77676	-0.43149	-2.28618	-0.21866
27.000	-1.87748	-0.48316	-2.32368	-0.20077
28.000	-1.81428	-0.49312	-2.38684	-0.28623
29.000	-1.83008	-0.56072	-2.41249	-0.28423
30.000	-1.81033	-0.55675	-2.38684	-0.25244
31.000	-1.72343	-0.50309	-2.36513	-0.25840
32.000	-1.63651	-0.56276	-2.34737	-0.32798
33.000	-1.53379	-0.53495	-2.32960	-0.34985
34.000	-1.42513	-0.55884	-2.19932	-0.33398
35.000	-1.34807	-0.56085	-2.21314	-0.31409
36.000	-1.18406	-0.51912	-2.11641	-0.27833
37.000	-1.11884	-0.49725	-1.99399	-0.26046
38.000	-1.03781	-0.50721	-1.93080	-0.22468
39.000	-1.00224	-0.48136	-1.89328	-0.20679
40.000	-0.96073	-0.41374	-1.83403	-0.15907
41.000	-0.92911	-0.38192	-1.78861	-0.16902
42.000	-0.93899	-0.36202	-1.74515	-0.10141
43.000	-0.96271	-0.28246	-1.75305	-0.05568
44.000	-1.02003	-0.30632	-1.85971	-0.10936
45.000	-1.10303	-0.27250	-1.89723	-0.09146
46.000	-1.13070	-0.28642	-1.94660	-0.03977
47.000	-1.19591	-0.24067	-1.96437	-0.07357
48.000	-1.20382	-0.21083	-1.99794	0.00000
49.000	-1.28681	-0.25259	-2.08087	-0.03181
50.000	-1.37375	-0.23270	-2.03941	-0.03778
51.000	-1.34807	-0.24662	-2.07100	0.01789
52.000	-1.34214	-0.26054	-2.08482	-0.00398
53.000	-1.38363	-0.27048	-2.05323	0.02585
54.000	-1.36980	-0.33214	-2.08877	0.02187
55.000	-1.35795	-0.31822	-2.07495	0.02386
56.000	-1.36190	-0.36396	-2.11641	0.00596
57.000	-1.33424	-0.34408	-2.13220	-0.00398
58.000	-1.38758	-0.38384	-2.08877	-0.06760
59.000	-1.34412	-0.37391	-2.07297	0.01392
60.000	-1.37178	-0.39379	-2.06902	-0.04573
61.000	-1.31645	-0.37988	-2.08087	-0.08151
62.000	-1.33424	-0.38385	-2.04335	-0.04772
63.000	-1.33424	-0.36794	-2.07495	-0.04772
64.000	-1.28484	-0.39380	-2.06112	-0.05964
65.000	-1.31250	-0.38783	-2.06507	-0.07356
66.000	-1.31052	-0.37789	-2.06310	-0.11332
67.000	-1.32436	-0.39777	-2.05718	-0.08748
