time (ms)	lx (deg)	ly (deg)	rx (deg)	ry (deg)
0.000	0.36625	1.66317	1.39163	0.01811
4.005	0.26210	1.69440	1.35891	-0.04472
7.995	0.12925	1.72520	1.32255	-0.11763
11.995	0.12133	1.70561	1.37704	-0.16438
16.021	0.12295	1.71795	1.47766	-0.19925
20.002	0.05924	1.75981	1.64429	-0.12131
23.998	0.02251	1.78816	1.81302	-0.12403
27.997	-0.02276	1.81050	1.87860	-0.08861
31.995	-0.03077	1.83486	1.91697	-0.02841
35.998	-0.00680	1.81917	1.87974	0.05387
39.999	-0.06212	1.84573	1.87009	0.14611
43.998	-0.08091	1.86268	1.88844	0.27644
47.999	-0.01884	1.85471	1.94858	0.23079
51.993	0.03162	1.84061	1.98350	0.26034
55.999	0.04973	1.84694	1.98041	0.32118
59.996	0.01851	1.84272	1.94957	0.36469
64.004	0.02809	1.87748	1.87748	0.37857
67.998	0.04092	1.68091	1.82822	0.36854
71.990	0.05269	1.51909	1.82410	0.37617
75.999	0.11491	1.45001	1.85338	0.35433
79.992	0.11438	1.40883	1.83313	0.35233
83.999	0.10098	1.33282	1.87733	0.29696
88.000	0.12399	1.25133	1.88611	0.25260
92.001	0.10498	1.17572	1.86771	0.23601
95.999	0.07813	1.14075	1.87071	0.25437
100.000	0.11714	1.16154	1.89047	0.22906
103.993	0.20499	1.13371	1.88152	0.20864
107.994	0.21574	1.07092	1.89612	0.15505
111.998	0.25555	1.08805	1.90517	0.14787
115.996	0.34821	1.14557	1.89221	0.10582
119.992	0.36283	1.20935	1.82336	0.10655
123.992	0.33501	1.32892	1.79058	0.05042
128.003	0.39598	1.32973	1.64667	0.05129
132.055	0.41715	1.37619	1.54564	0.01548
136.004	0.38819	1.38623	1.53733	-0.01567
139.994	0.36754	1.40685	1.48528	-0.05470
143.992	0.26056	1.44359	1.43630	-0.04710
147.991	0.17620	1.44422	1.42900	-0.02293
151.997	0.19750	1.47968	1.37625	0.03326
155.994	0.20117	1.51181	1.44193	0.09102
159.994	0.13178	1.49515	1.51985	0.12085
163.990	0.10592	1.46898	1.48520	0.11494
167.996	0.04713	1.41507	1.50299	0.17985
171.999	0.03350	1.42471	1.52642	0.22247
175.998	-0.00871	1.41894	1.56551	0.26529
179.997	-0.01576	1.40514	1.62936	0.30455
183.992	-0.03067	1.40119	1.66061	0.36073
187.992	-0.07051	1.35775	1.67129	0.39788
191.991	-0.06490	1.37543	1.71280	0.41422
195.997	-0.05850	1.36418	1.73212	0.44019
200.010	-0.12669	1.33579	1.71558	0.45237
204.002	-0.14963	1.34481	1.77320	0.43586
207.992	-0.18683	1.33569	1.80365	0.46153
211.997	-0.21683	1.37187	1.80291	0.47375
215.995	-0.28203	1.37090	1.93646	0.46232
219.994	-0.29324	1.36459	2.05497	0.44801
223.992	-0.30932	1.34124	2.08994	0.44412
227.989	-0.32657	1.32142	2.18168	0.44390
231.996	-0.31444	1.36642	2.26173	0.39720
235.997	-0.31416	1.34646	2.25932	0.41388
239.991	-0.32645	1.31829	2.33896	0.39343
243.989	-0.31573	1.32497	2.38601	0.38065
247.995	-0.32583	1.33828	2.43989	0.38535
251.992	-0.32580	1.35470	2.49151	0.37340
255.998	-0.29962	1.35115	2.48369	0.38311
259.988	-0.27140	1.32376	2.43739	0.40211
263.995	-0.25783	1.27479	2.28460	0.40690
267.992	-0.22388	1.32128	2.07526	0.42555
271.991	-0.20050	1.32918	2.09571	0.42572
275.999	-0.17556	1.25887	2.11683	0.44109
279.991	-0.15121	1.25455	1.99513	0.45520
283.991	-0.15464	1.24313	1.97019	0.46715
287.994	-0.17027	1.21556	1.88626	0.48572
291.992	-0.17963	1.19601	1.85889	0.48764
295.998	-0.21333	1.15897	1.74841	0.50968
299.991	-0.22537	1.09335	1.69160	0.50351
303.995	-0.21499	1.05159	1.65394	0.49614
307.993	-0.24341	1.02717	1.66896	0.48442
311.990	-0.18876	0.98435	1.72327	0.44752
315.989	-0.23016	0.91809	1.69361	0.39304
319.994	-0.24552	0.94174	1.69279	0.35287
324.022	-0.31409	0.86815	1.67437	0.26180
327.992	-0.32613	0.82733	1.72193	0.16145
331.996	-0.37080	0.72554	1.75257	0.11068
336.022	-0.36650	0.66214	1.73475	0.09861
339.997	-0.36645	0.60146	1.77273	-0.00579
343.989	-0.41757	0.62328	1.81657	-0.10891
347.994	-0.45870	0.59428	1.84790	-0.08198
351.993	-0.46810	0.60971	1.89203	-0.14516
355.989	-0.51267	0.61363	1.94067	-0.13659
359.988	-0.50532	0.65266	1.99389	-0.11732
363.990	-0.50396	0.67820	2.02096	-0.08563
367.989	-0.42820	0.77028	2.06366	-0.07681
371.992	-0.40216	0.84216	2.07360	0.02970
375.987	-0.38658	0.96570	2.06798	0.04609
379.994	-0.37097	1.06680	2.11973	0.07976
383.996	-0.34429	1.09495	2.15066	0.11070
387.990	-0.29203	1.14334	2.19018	0.20704
391.989	-0.25185	1.22546	2.19018	0.19184
395.988	-0.26269	1.33725	2.19420	0.17707
399.993	-0.23986	1.34850	2.12587	0.15830
404.011	-0.22254	1.37724	2.08726	0.11026
407.999	-0.23165	1.41176	2.09100	0.12935
411.989	-0.27937	1.43102	2.09722	0.21450
415.991	-0.29726	1.45171	2.11913	0.20737
419.993	-0.31389	1.43362	2.15968	0.16987
423.992	-0.29669	1.40586	2.11110	0.17787
427.990	-0.28096	1.39427	2.11373	0.23054
431.987	-0.30086	1.40564	2.08580	0.23864
435.987	-0.29153	1.34904	2.13948	0.21122
439.991	-0.28617	1.26627	2.09742	0.21701
